@T,table,
Created,2017-05-02 08:43,
Author,HortonMachine library,
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 00:00,0
,2013-12-15 01:00,0
,2013-12-15 02:00,0
,2013-12-15 03:00,0
,2013-12-15 04:00,0
,2013-12-15 05:00,0
,2013-12-15 06:00,0
,2013-12-15 07:00,1668.99872071069
,2013-12-15 08:00,203.159048113298
,2013-12-15 09:00,395.508525091806
,2013-12-15 10:00,531.506546720156
,2013-12-15 11:00,601.262727107859
,2013-12-15 12:00,600.58205865483
,2013-12-15 13:00,528.713739043763
,2013-12-15 14:00,391.723491022303
,2013-12-15 15:00,199.621199869784
,2013-12-15 16:00,0
,2013-12-15 17:00,0
,2013-12-15 18:00,0
,2013-12-15 19:00,0
,2013-12-15 20:00,0
,2013-12-15 21:00,0
,2013-12-15 22:00,0
,2013-12-15 23:00,0
,2013-12-16 00:00,0
,2013-12-16 01:00,0
,2013-12-16 02:00,0
,2013-12-16 03:00,0
,2013-12-16 04:00,0
,2013-12-16 05:00,0
,2013-12-16 06:00,0
,2013-12-16 07:00,0
,2013-12-16 08:00,202.563074597116
,2013-12-16 09:00,394.994748713125
,2013-12-16 10:00,530.951595535138
,2013-12-16 11:00,600.34279743582
,2013-12-16 12:00,599.318172747969
,2013-12-16 13:00,527.746047979109
,2013-12-16 14:00,390.766742706081
,2013-12-16 15:00,198.793978194071
,2013-12-16 16:00,0
,2013-12-16 17:00,0
,2013-12-16 18:00,0
,2013-12-16 19:00,0
,2013-12-16 20:00,0
,2013-12-16 21:00,0
,2013-12-16 22:00,0
,2013-12-16 23:00,0
,2013-12-17 00:00,0
,2013-12-17 01:00,0
,2013-12-17 02:00,0
,2013-12-17 03:00,0
,2013-12-17 04:00,0
,2013-12-17 05:00,0
,2013-12-17 06:00,0
,2013-12-17 07:00,0
,2013-12-17 08:00,201.611419851489
,2013-12-17 09:00,393.426236877648
,2013-12-17 10:00,529.414337037982
,2013-12-17 11:00,598.817369926708
,2013-12-17 12:00,598.319889761637
,2013-12-17 13:00,526.450989450846
,2013-12-17 14:00,389.601439781124
,2013-12-17 15:00,197.830395373752
,2013-12-17 16:00,0
,2013-12-17 17:00,0
,2013-12-17 18:00,0
,2013-12-17 19:00,0
,2013-12-17 20:00,0
,2013-12-17 21:00,0
,2013-12-17 22:00,0
,2013-12-17 23:00,0
,2013-12-18 00:00,0
,2013-12-18 01:00,0
,2013-12-18 02:00,0
,2013-12-18 03:00,0
,2013-12-18 04:00,0
,2013-12-18 05:00,0
,2013-12-18 06:00,0
,2013-12-18 07:00,0
,2013-12-18 08:00,201.134827733538
