@T,table,
Created,2017-05-02 08:43,
Author,HortonMachine library,
@H,timestamp,value_2
ID,,2
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2013-12-15 00:00,0
,2013-12-15 01:00,0
,2013-12-15 02:00,0
,2013-12-15 03:00,0
,2013-12-15 04:00,0
,2013-12-15 05:00,0
,2013-12-15 06:00,0
,2013-12-15 07:00,2610.87452590159
,2013-12-15 08:00,163.888669696679
,2013-12-15 09:00,321.822923330119
,2013-12-15 10:00,430.063998503323
,2013-12-15 11:00,480.172137655762
,2013-12-15 12:00,469.979100518076
,2013-12-15 13:00,400.509938485486
,2013-12-15 14:00,280.274073070507
,2013-12-15 15:00,125.984648021226
,2013-12-15 16:00,2608.88764735578
,2013-12-15 17:00,0
,2013-12-15 18:00,0
,2013-12-15 19:00,0
,2013-12-15 20:00,0
,2013-12-15 21:00,0
,2013-12-15 22:00,0
,2013-12-15 23:00,0
,2013-12-16 00:00,0
,2013-12-16 01:00,0
,2013-12-16 02:00,0
,2013-12-16 03:00,0
,2013-12-16 04:00,0
,2013-12-16 05:00,0
,2013-12-16 06:00,0
,2013-12-16 07:00,0
,2013-12-16 08:00,163.304424518678
,2013-12-16 09:00,321.273139483015
,2013-12-16 10:00,429.753263496905
,2013-12-16 11:00,479.901617311099
,2013-12-16 12:00,469.280574263815
,2013-12-16 13:00,399.691180963471
,2013-12-16 14:00,279.414018693157
,2013-12-16 15:00,125.164193400871
,2013-12-16 16:00,0
,2013-12-16 17:00,0
,2013-12-16 18:00,0
,2013-12-16 19:00,0
,2013-12-16 20:00,0
,2013-12-16 21:00,0
,2013-12-16 22:00,0
,2013-12-16 23:00,0
,2013-12-17 00:00,0
,2013-12-17 01:00,0
,2013-12-17 02:00,0
,2013-12-17 03:00,0
,2013-12-17 04:00,0
,2013-12-17 05:00,0
,2013-12-17 06:00,0
,2013-12-17 07:00,0
,2013-12-17 08:00,162.492305598045
,2013-12-17 09:00,319.704398359356
,2013-12-17 10:00,428.434648253234
,2013-12-17 11:00,478.669868601943
,2013-12-17 12:00,468.398814965429
,2013-12-17 13:00,398.597204149019
,2013-12-17 14:00,278.494119963841
,2013-12-17 15:00,124.502057579818
,2013-12-17 16:00,0
,2013-12-17 17:00,0
,2013-12-17 18:00,0
,2013-12-17 19:00,0
,2013-12-17 20:00,0
,2013-12-17 21:00,0
,2013-12-17 22:00,0
,2013-12-17 23:00,0
,2013-12-18 00:00,0
,2013-12-18 01:00,0
,2013-12-18 02:00,0
,2013-12-18 03:00,0
,2013-12-18 04:00,0
,2013-12-18 05:00,0
,2013-12-18 06:00,0
,2013-12-18 07:00,0
